coin,price
Dymension,$1.13
peaq,$0.38
Kadena,$0.83
Terra,$0.35
Neiro (First Neiro On Ethereum),$0.00
Clearpool,$0.34
Bazaars,$21.01
Frax Share,$2.79
Mask Network,$2.41
SKALE,$0.04
Gravity,$0.03
Constellation,$0.08
Biconomy,$0.25
Loopring,$0.17
ssv.network,$19.43
Polymesh,$0.25
GMX,$22.76
Metis,$36.36
Hey Anon,$17.70
Toshi,$0.00
Metaplex,$0.29
Sun [New],$0.02
NEM,$0.02
XYO,$0.02
Polyhedra Network,$1.93
Solana Name Service,$0.22
ChainGPT,$0.27
Sologenic,$0.52
Decred,$12.63
Avail,$0.11
UMA,$2.46
Hive,$0.41
Open Campus,$0.50
Ontology,$0.22
Humans.ai,$0.04
GoМining,$0.49
Unicorn Fart Dust,$0.20
Hivemapper,$0.06
Usual,$0.35
Rocket Pool,$9.27
Xai,$0.19
Rollbit Coin,$0.09
Flux,$0.51
Orbler,$0.19
Phala Network,$0.25
Solar,$0.31
Dogelon Mars,$0.00
TARS AI,$0.28
CoW Protocol,$0.65
Band Protocol,$1.22
Altlayer,$0.08222
DigiByte,$0.01079
LCX,$0.242
Waves,$1.60
Polymath,$0.2007
Alchemy Pay,$0.02139
Hamster Kombat,$0.002859
Velo,$0.02479
COTI,$0.1018
Audius,$0.1405
Storj,$0.45
Casper,$0.01
Illuvium,$33.18
Act I : The AI Prophecy,$0.19
WAX,$0.04
Orca,$3.29
0x0.ai,$0.20
Wilder World,$0.45
Zentry,$0.03
ICON,$0.17
GoldPro Token,$37.22
Moonbeam,$0.18
DOGS,$0.00
Verge,$0.01
STP,$0.09
VVS Finance,$0.00
Across Protocol,$0.40
Liquity,$1.77
Decentralized Social,$18.75
Balancer,$2.68
Status,$0.04
Huobi Token,$1.01
ZIGChain,$0.11
Blast,$0.01
Spell Token,$0.00
World Mobile Token,$0.33
AVA,$0.16
Apu Apustaja,$0.00
Chromia,$0.19
Zano,$11.68
Marlin,$0.02
Radix,$0.01
ConstitutionDAO,$0.03
HarryPotterObamaSonic10Inu (ERC-20),$0.16
Mythos,$0.20
Big Time,$0.10
Vanar Chain,$0.08
Omni Network,$9.42
UPCX,$3.02
Ski Mask Dog,$0.16
Delysium,$0.14
Nano,$1.15
Staika,$3.25
Sleepless AI,$0.58
Fwog (SOL),$0.16
Cheems (cheems.pet),$0.00
Yield Guild Games,$0.35
Pixels,$0.12
Lisk,$0.89
USDJ,$1.15
Cetus Protocol,$0.23
Taiko,$1.38
Arcblock,$1.50
Ozone Chain,$0.21
BounceBit,$0.30
PepeCoin,$1.37
Moo Deng (moodengsol.com),$0.15
Civic,$0.15
Powerledger,$0.26
Scroll,$0.75
pippin,$0.14
Aleo,$0.46
Zerebro,$0.15
Non-Playable Coin,$0.02
Banana Gun,$41.08
BORA,$0.13
Hive AI,$0.14
IQ,$0.01
Simon's Cat,$0.00
Centrifuge,$0.27
Limitus,$0.16
iExec RLC,$1.87
ORBIT,$0.14
Saga,$1.23
Swarms,$0.13
IOST,$0.01
Tellor,$50.39
Smooth Love Potion,$0.00
Stratis [New],$0.07
Bitkub Coin,$1.91
Venus,$7.95
Cookie DAO,$0.40
STASIS EURO,$1.05
ArchLoot,$0.22
JOE,$0.33
Devve,$1.44
Keep Network,$0.13
Dent,$0.00
SmarDex,$0.01
Ontology Gas,$0.31
MVL,$0.004717
ANDY (ETH),$0.0001219
Ergo,$1.53
dKargo,$0.02593
Adventure Gold,$1.57
Coin98,$0.1324
Mr Mint,$0.3441
Nosana,$2.50
Satoshi Airline,$1.10
CARV,$0.6748
Access Protocol,$0.00
Celer Network,$0.02
Cartesi,$0.14
Ponke,$0.21
Vulcan Forged (PYR),$2.99
API3,$1.34
Bitcoin Gold,$6.62
Altura,$0.12
Pundi X (New),$0.44
Artificial Liquid Intelligence,$0.01
Assemble AI,$0.07
Orbs,$0.03
CUDOS,$0.01
Treasure,$0.37
Oraichain,$7.76
Aurora,$0.19
Orchid,$0.11
Secret,$0.36
Degen,$0.01
MiL.k,$0.25
Maple Finance,$0.14
Seedify.fund,$1.63
XPR Network,$0.00
Propy,$1.05
BinaryX,$0.28
Steem,$0.22
Portal,$0.23
Numeraire,$13.11
Oasys,$0.03
Solv Protocol,$0.07
48 Club Token,$30.23
Metacraft,$1.94
GameStop (gamestop-coin.vip),$0.00
IAGON,$0.27
Node AI,$1.06
Zircuit,$0.07
Landwolf 0x67,$0.00
Prom,$5.47
Kyber Network Crystal v2,$0.53
Velodrome Finance,$0.11
MediBloc,$0.01
ANyONe Protocol,$1.02
Synapse,$0.50
NetMind Token,$2.96
Alephium,$0.98
Ark,$0.53
Mr Miggles,$0.10
MetFi,$0.48
WINkLink,$0.00
Suilend,$1.98
Tokenlon Network Token,$0.81
Stronghold Token,$0.02
BasedAI,$2.75
Neutron,$0.31
Cyber,$2.89
GameBuild,$0.01
Moonriver,$9.98
BitMart Token,$0.29
Metal DAO,$1.18
Tornado Cash,$17.47
Mode,$0.04
EURC,$1.04
Acala Token,$0.08
Request,$0.12
USDB,$1.00
ECOMI,$0.00
Spectral,$6.32
Rootstock Infrastructure Framework,$0.09
TerraClassicUSD,$0.02
Hashflow,$0.18
Lift Dollar,$1.00
Bone ShibaSwap,$0.38
TrueFi,$0.07
Highstreet,$1.23
Bounce Token,$13.18
HashAI,$0.00
Lumia,$0.97
Merlin Chain,$0.16
Ardor,$0.09
Braintrust,$0.35
ApeX Protocol,$1.55
Bitget Wallet Token,$0.60
Shentu,$0.60
Autonolas,$0.91
Pepe Unchained,$0.01
Dusk,$0.18
Verum Coin,$896.90
AI Companions,$0.11
Department Of Government Efficiency (dogegov.com),$0.08
Symbol,$0.01
